entry_price,exit_price,side,qty,pnl,reason,ts
1851.0,1854.3,-1,2000,-6599.999999999909,sl,2025-09-03 09:32:00
1862.0,1860.2,1,1999,-3598.199999999909,sl,2025-09-03 10:28:00
1843.6,1845.9,-1,1999,-4597.700000000364,sl,2025-09-03 11:11:00
1854.8,1852.0,1,1999,-5597.199999999909,sl,2025-09-03 13:18:00
1852.0,1854.7,-1,1999,-5397.300000000091,sl,2025-09-03 13:45:00
1849.3,1854.0,-1,1999,-9395.30000000009,sl,2025-09-03 14:11:00
1853.5,1857.6,-1,1999,-8195.899999999818,sl,2025-09-03 14:38:00
1855.9,1858.3,-1,1999,-4797.5999999997275,sl,2025-09-04 10:11:00
1853.5,1851.3,-1,1999,4397.800000000091,tp,2025-09-04 10:48:00
1850.2,1853.9,1,1999,7396.300000000091,tp,2025-09-04 13:02:00
1862.3,1865.9,1,1999,7196.4000000002725,tp,2025-09-04 13:49:00
1872.0,1876.8,1,1999,9595.19999999991,tp,2025-09-04 14:18:00
1883.2,1885.0,-1,1999,-3598.199999999909,sl,2025-09-05 09:41:00
1882.8,1885.5,-1,1999,-5397.300000000091,sl,2025-09-05 10:06:00
1892.0,1897.6,1,1999,11194.399999999818,tp,2025-09-05 10:32:00
1895.9,1894.0,1,1999,-3798.100000000182,sl,2025-09-05 11:10:00
1888.7,1885.1,-1,1999,7196.4000000002725,tp,2025-09-05 13:34:00
1876.0,1868.3,-1,1999,15392.30000000009,tp,2025-09-05 14:17:00
1831.7,1833.3,-1,2000,-3199.999999999818,sl,2025-09-08 10:47:00
1833.0,1831.0,1,1999,-3998.0,sl,2025-09-08 13:28:00
1825.9,1816.6,-1,1999,18590.700000000365,tp,2025-09-08 14:25:00
1810.6,1807.6,1,2000,-6000.0,sl,2025-09-09 09:44:00
1805.9,1801.3,-1,2000,9200.000000000273,tp,2025-09-09 10:28:00
1799.5,1802.3,-1,2000,-5599.999999999909,sl,2025-09-09 11:00:00
1801.2,1804.2,-1,2000,-6000.0,sl,2025-09-09 14:08:00
1825.0,1802.9,1,2000,-44199.99999999982,sl,2025-09-09 14:45:00
1821.2,1817.6,-1,1999,7196.4000000002725,tp,2025-09-10 10:29:00
1808.2,1810.9,-1,1999,-5397.300000000091,sl,2025-09-10 11:01:00
1815.9,1814.2,1,1999,-3398.300000000091,sl,2025-09-10 13:05:00
1811.7,1808.1,-1,1999,7196.4000000002725,tp,2025-09-10 13:29:00
1815.5,1818.0,-1,1999,-4997.5,sl,2025-09-11 09:23:00
1791.4,1782.0,-1,1999,18790.60000000018,tp,2025-09-11 09:55:00
1802.7,1807.4,1,1999,9395.30000000009,tp,2025-09-11 11:22:00
1813.7,1818.7,-1,1999,-9995.0,sl,2025-09-11 13:22:00
1847.9,1843.1,-1,1999,9595.200000000365,tp,2025-09-12 10:04:00
1845.8,1851.8,1,1999,11994.0,tp,2025-09-12 10:29:00
1860.0,1856.9,1,2000,-6199.999999999818,sl,2025-09-12 11:05:00
1860.9,1868.1,1,1999,14392.799999999635,tp,2025-09-12 13:46:00
1855.3,1860.5,-1,2000,-10400.000000000091,sl,2025-09-12 14:24:00
1861.2,1858.7,1,1999,-4997.5,sl,2025-09-15 09:41:00
1862.8,1860.5,1,1999,-4597.699999999909,sl,2025-09-15 10:10:00
1860.5,1858.6,1,1999,-3798.100000000182,sl,2025-09-15 11:01:00
1858.4,1860.7,-1,1999,-4597.699999999909,sl,2025-09-15 13:42:00
1867.6,1865.0,1,1999,-5197.399999999818,sl,2025-09-15 14:03:00
1872.1,1876.7,1,1999,9195.400000000272,tp,2025-09-15 14:30:00
1880.6,1876.5,-1,1999,8195.899999999818,tp,2025-09-16 10:19:00
1881.0,1879.7,1,1999,-2598.699999999909,sl,2025-09-16 11:06:00
1882.4,1886.6,1,1999,8395.799999999635,tp,2025-09-16 13:29:00
1883.2,1877.9,-1,1999,10594.69999999991,tp,2025-09-16 14:00:00
1875.8,1873.6,1,2000,-4400.000000000091,sl,2025-09-17 09:27:00
1877.3,1876.1,1,2000,-2400.000000000091,sl,2025-09-17 09:46:00
1873.4,1875.1,-1,2000,-3399.999999999636,sl,2025-09-17 10:10:00
1876.3,1877.6,-1,1999,-2598.699999999909,sl,2025-09-17 10:43:00
1875.4,1877.9,-1,1999,-4997.5,sl,2025-09-17 11:26:00
1884.9,1883.2,1,1999,-3398.300000000091,sl,2025-09-17 13:33:00
1877.1,1879.4,-1,1999,-4597.700000000364,sl,2025-09-17 14:13:00
1871.6,1868.8,-1,1999,5597.199999999909,tp,2025-09-18 09:23:00
1869.3,1870.4,-1,1999,-2198.9000000002725,sl,2025-09-18 10:04:00
1863.4,1866.1,-1,1999,-5397.299999999636,sl,2025-09-18 13:07:00
1860.8,1862.5,-1,1999,-3398.300000000091,sl,2025-09-18 13:16:00
1854.0,1857.4,-1,1999,-6796.600000000182,sl,2025-09-18 13:49:00
1842.3,1856.8,-1,1999,-28985.5,sl,2025-09-18 14:37:00
1850.8,1852.0,-1,1999,-2398.800000000091,sl,2025-09-19 09:30:00
1842.8,1844.1,-1,1999,-2598.699999999909,sl,2025-09-19 10:32:00
1838.6,1841.4,-1,1999,-5597.200000000364,sl,2025-09-19 11:01:00
1845.9,1843.3,1,1999,-5197.4000000002725,sl,2025-09-19 11:19:00
1845.5,1849.5,1,1999,7996.0,tp,2025-09-19 13:30:00
1848.0,1850.8,-1,1999,-5597.199999999909,sl,2025-09-19 14:05:00
1830.5,1832.7,-1,1999,-4397.800000000091,sl,2025-09-22 10:05:00
1829.0,1826.0,-1,1999,5997.0,tp,2025-09-22 11:11:00
1821.8,1824.2,-1,1999,-4797.600000000182,sl,2025-09-22 13:06:00
1812.6,1805.6,-1,1999,13993.0,tp,2025-09-22 13:56:00
1821.7,1826.0,1,1999,8595.69999999991,tp,2025-09-23 09:50:00
1828.8,1832.2,1,1999,6796.600000000182,tp,2025-09-23 13:28:00
1826.5,1823.0,-1,1999,6996.5,tp,2025-09-23 13:43:00
1805.6,1800.0,-1,1999,11194.399999999818,tp,2025-09-24 09:30:00
1811.4,1807.3,-1,1999,8195.900000000272,tp,2025-09-24 10:37:00
1807.4,1804.3,1,1999,-6196.9000000002725,sl,2025-09-24 13:15:00
1819.5,1826.0,1,1999,12993.5,tp,2025-09-24 14:00:00
1831.6,1841.7,1,1999,20189.900000000274,tp,2025-09-24 14:22:00
1843.8,1846.2,-1,2000,-4800.000000000182,sl,2025-09-25 09:38:00
1847.9,1844.9,1,2000,-6000.0,sl,2025-09-25 10:46:00
1848.9,1853.0,1,1999,8195.899999999818,tp,2025-09-25 13:02:00
1852.1,1854.0,-1,2000,-3800.000000000182,sl,2025-09-25 13:50:00
1852.1,1850.9,1,2000,-2399.999999999636,sl,2025-09-26 10:38:00
1848.5,1846.4,-1,1999,4197.899999999818,tp,2025-09-26 11:10:00
1852.0,1850.5,1,2000,-3000.0,sl,2025-09-26 13:23:00
1859.2,1853.5,1,2000,-11400.000000000091,sl,2025-09-26 14:16:00
1841.2,1844.1,1,1999,5797.0999999997275,tp,2025-09-29 09:32:00
1853.7,1855.6,-1,1999,-3798.0999999997275,sl,2025-09-29 13:35:00
1865.2,1862.5,1,1999,-5397.300000000091,sl,2025-09-29 13:56:00
1855.3,1856.4,-1,1999,-2198.9000000002725,sl,2025-09-30 09:47:00
1857.6,1855.6,-1,1999,3998.0,tp,2025-09-30 10:46:00
1852.4,1851.3,1,1999,-2198.9000000002725,sl,2025-09-30 13:11:00
1850.2,1852.8,-1,1999,-5197.399999999818,sl,2025-09-30 14:06:00
1850.0,1854.3,-1,1999,-8595.69999999991,sl,2025-09-30 14:44:00
1866.9,1865.8,1,1999,-2198.9000000002725,sl,2025-10-01 11:16:00
1865.1,1867.7,-1,1999,-5197.4000000002725,sl,2025-10-01 13:57:00
1862.0,1864.0,-1,1999,-3998.0,sl,2025-10-01 14:44:00
1873.7,1871.5,-1,1999,4397.800000000091,tp,2025-10-02 11:18:00
1874.7,1873.8,1,1999,-1799.1000000001818,sl,2025-10-02 13:25:00
1852.6,1856.2,1,1999,7196.4000000002725,tp,2025-10-03 13:03:00
1864.1,1861.9,1,1999,-4397.799999999636,sl,2025-10-03 13:49:00
1859.9,1864.4,-1,1999,-8995.5,sl,2025-10-03 14:20:00
1856.9,1865.6,-1,1999,-17391.299999999635,sl,2025-10-06 09:00:00
1890.9,1889.0,1,1999,-3798.100000000182,sl,2025-10-06 09:46:00
1892.8,1896.8,1,1999,7996.0,tp,2025-10-06 10:21:00
1890.0,1891.6,-1,1999,-3198.399999999818,sl,2025-10-06 13:24:00
1896.7,1894.6,1,1999,-4197.9000000002725,sl,2025-10-06 13:42:00
1898.7,1897.2,1,1999,-2998.5,sl,2025-10-06 14:06:00
1915.0,1918.4,-1,1999,-6796.600000000182,sl,2025-10-07 09:45:00
1919.5,1921.3,1,1999,3598.199999999909,tp,2025-10-07 10:22:00
1919.1,1916.6,-1,1999,4997.5,tp,2025-10-07 10:47:00
1920.6,1919.6,1,1999,-1999.0,sl,2025-10-07 13:01:00
1916.0,1917.8,-1,1999,-3598.199999999909,sl,2025-10-07 13:26:00
1912.8,1914.8,-1,1999,-3998.0,sl,2025-10-07 13:39:00
1917.4,1918.0,-1,1999,-1199.3999999998182,sl,2025-10-08 11:04:00
1928.1,1926.0,1,1999,-4197.899999999818,sl,2025-10-08 14:21:00
1925.3,1928.3,1,1999,5997.0,tp,2025-10-09 09:40:00
1929.7,1926.7,-1,1999,5997.0,tp,2025-10-09 11:04:00
1931.9,1930.3,1,1999,-3198.4000000002725,sl,2025-10-09 11:26:00
1931.0,1927.5,-1,1999,6996.5,tp,2025-10-09 13:40:00
1937.9,1936.2,1,1999,-3398.300000000091,sl,2025-10-09 14:43:00
1942.5,1940.0,1,1999,-4997.5,sl,2025-10-10 09:54:00
1947.3,1945.5,1,1999,-3598.199999999909,sl,2025-10-10 10:17:00
1951.3,1953.4,1,1999,4197.9000000002725,tp,2025-10-10 13:10:00
1958.0,1963.8,1,1999,11594.19999999991,tp,2025-10-10 13:59:00
1956.7,1962.8,-1,1999,-12193.899999999818,sl,2025-10-10 14:18:00
1976.8,1972.5,1,1999,-8595.69999999991,sl,2025-10-13 10:12:00
1983.5,1986.1,1,1999,5197.399999999818,tp,2025-10-13 11:23:00
1987.3,1985.0,1,1999,-4597.699999999909,sl,2025-10-13 13:18:00
1990.5,1996.8,1,1999,12593.69999999991,tp,2025-10-13 14:06:00
2027.0,2031.0,-1,1999,-7996.0,sl,2025-10-14 10:15:00
2038.3,2035.8,1,1999,-4997.5,sl,2025-10-14 11:23:00
2012.5,2017.0,-1,1999,-8995.5,sl,2025-10-14 14:11:00
2021.4,2025.2,1,1999,7596.199999999909,tp,2025-10-15 09:51:00
2023.8,2025.2,-1,1999,-2798.600000000182,sl,2025-10-15 11:07:00
2017.4,2019.3,-1,1999,-3798.0999999997275,sl,2025-10-15 13:36:00
2021.2,2024.9,1,1999,7396.300000000091,tp,2025-10-15 14:06:00
2018.2,2019.8,-1,1999,-3198.399999999818,sl,2025-10-16 10:05:00
2016.8,2018.5,-1,1999,-3398.300000000091,sl,2025-10-16 11:22:00
2018.7,2020.0,-1,1999,-2598.699999999909,sl,2025-10-16 13:45:00
2010.6,2012.6,-1,1999,-3998.0,sl,2025-10-17 09:20:00
2012.3,2010.5,1,1999,-3598.199999999909,sl,2025-10-17 10:09:00
2010.2,2008.7,1,1999,-2998.5,sl,2025-10-17 10:48:00
2006.5,2008.5,-1,1999,-3998.0,sl,2025-10-17 11:16:00
2005.0,2002.1,-1,1999,5797.100000000182,tp,2025-10-17 13:15:00
1993.0,1985.3,-1,1999,15392.30000000009,tp,2025-10-17 13:58:00
1965.0,1969.1,-1,1999,-8195.899999999818,sl,2025-10-17 14:43:00
1954.4,1957.3,-1,1999,-5797.0999999997275,sl,2025-10-20 10:39:00
1956.1,1952.6,-1,1999,6996.5,tp,2025-10-20 11:22:00
1945.5,1947.8,-1,1999,-4597.699999999909,sl,2025-10-20 13:19:00
1892.1,1898.0,1,1999,11794.100000000182,tp,2025-10-21 09:36:00
1881.8,1877.7,1,1999,-8195.899999999818,sl,2025-10-21 13:04:00
1910.0,1900.6,1,1999,-18790.60000000018,sl,2025-10-21 13:47:00
1917.3,1931.5,1,1999,28385.80000000009,tp,2025-10-21 14:10:00
1898.2,1894.5,-1,1999,7396.300000000091,tp,2025-10-22 10:03:00
1897.0,1893.1,1,1999,-7796.100000000182,sl,2025-10-22 13:04:00
1888.5,1891.9,-1,1999,-6796.600000000182,sl,2025-10-22 13:34:00
1862.0,1869.0,-1,1999,-13993.0,sl,2025-10-22 14:06:00
1918.1,1913.3,-1,1999,9595.19999999991,tp,2025-10-23 09:38:00
1923.8,1931.9,1,1999,16191.900000000272,tp,2025-10-23 09:58:00
1925.6,1929.1,-1,1999,-6996.5,sl,2025-10-23 10:31:00
1943.1,1949.8,1,1999,13393.30000000009,tp,2025-10-23 13:55:00
1937.0,1939.7,-1,1999,-5397.300000000091,sl,2025-10-24 09:35:00
1942.6,1940.1,1,1999,-4997.5,sl,2025-10-24 09:55:00
1932.0,1934.8,-1,1999,-5597.199999999909,sl,2025-10-24 10:32:00
1928.2,1930.1,-1,1999,-3798.0999999997275,sl,2025-10-24 10:48:00
1932.6,1937.3,1,1999,9395.30000000009,tp,2025-10-24 13:27:00
1934.1,1937.5,-1,1999,-6796.600000000182,sl,2025-10-24 14:44:00
1939.0,1942.0,-1,1999,-5997.0,sl,2025-10-27 10:04:00
1933.3,1927.1,-1,1999,12393.80000000009,tp,2025-10-27 10:18:00
1928.1,1933.3,1,1999,10394.80000000009,tp,2025-10-27 11:19:00
1921.9,1915.2,-1,1999,13393.30000000009,tp,2025-10-27 13:22:00
1930.0,1940.1,1,1999,20189.89999999982,tp,2025-10-27 14:00:00
1921.7,1910.0,-1,1999,23388.30000000009,tp,2025-10-27 14:25:00
1899.6,1894.0,1,1999,-11194.399999999818,sl,2025-10-28 10:25:00
1889.9,1885.4,1,1999,-8995.5,sl,2025-10-28 13:12:00
1940.9,1949.9,1,1999,17991.0,tp,2025-10-29 11:05:00
1952.6,1954.8,-1,1999,-4397.800000000091,sl,2025-10-29 13:14:00
1949.5,1941.0,-1,1999,16991.5,tp,2025-10-30 09:31:00
1934.8,1929.6,-1,1999,10394.80000000009,tp,2025-10-30 10:05:00
1925.7,1927.7,-1,2000,-4000.0,sl,2025-10-30 10:59:00
1921.0,1926.9,-1,2000,-11800.000000000182,sl,2025-10-30 13:59:00
1931.2,1920.0,1,1999,-22388.80000000009,sl,2025-10-30 14:41:00
